4053 verb(s) selected; model google/gemini-2.5-flash; batch size 25
  batch 1: 25/25 classified, 0 problem(s), ~$0.0014
  batch 2: 25/25 classified, 0 problem(s), ~$0.0014
  batch 3: 25/25 classified, 0 problem(s), ~$0.0014
  batch 4: 25/25 classified, 0 problem(s), ~$0.0014
  batch 5: 25/25 classified, 0 problem(s), ~$0.0013
  batch 6: 25/25 classified, 0 problem(s), ~$0.0013
  batch 7: 25/25 classified, 0 problem(s), ~$0.0014
  batch 8: 25/25 classified, 0 problem(s), ~$0.0014
  batch 9: 25/25 classified, 0 problem(s), ~$0.0013
  batch 10: 25/25 classified, 0 problem(s), ~$0.0013
  batch 11: 25/25 classified, 0 problem(s), ~$0.0014
  batch 12: 25/25 classified, 0 problem(s), ~$0.0013
  batch 13: 25/25 classified, 0 problem(s), ~$0.0014
  batch 14: 25/25 classified, 0 problem(s), ~$0.0014
  batch 15: 25/25 classified, 0 problem(s), ~$0.0014
  batch 16: 25/25 classified, 0 problem(s), ~$0.0014
  batch 17: 25/25 classified, 0 problem(s), ~$0.0014
  batch 18: 25/25 classified, 0 problem(s), ~$0.0014
  batch 19: 25/25 classified, 0 problem(s), ~$0.0014
  batch 20: 25/25 classified, 0 problem(s), ~$0.0014
  batch 21: 25/25 classified, 0 problem(s), ~$0.0014
  batch 22: 25/25 classified, 0 problem(s), ~$0.0014
  batch 23: 25/25 classified, 0 problem(s), ~$0.0014
  batch 24: 25/25 classified, 0 problem(s), ~$0.0014
  batch 25: 25/25 classified, 0 problem(s), ~$0.0014
  batch 26: 25/25 classified, 0 problem(s), ~$0.0014
  batch 27: 25/25 classified, 0 problem(s), ~$0.0014
  batch 28: 25/25 classified, 0 problem(s), ~$0.0014
  batch 29: 25/25 classified, 0 problem(s), ~$0.0014
  batch 30: 25/25 classified, 0 problem(s), ~$0.0014
  batch 31: 25/25 classified, 0 problem(s), ~$0.0014
  batch 32: 25/25 classified, 0 problem(s), ~$0.0014
  batch 33: 25/25 classified, 0 problem(s), ~$0.0014
  batch 34: 25/25 classified, 0 problem(s), ~$0.0014
  batch 35: 25/25 classified, 0 problem(s), ~$0.0014
  batch 36: 25/25 classified, 0 problem(s), ~$0.0014
  batch 37: 25/25 classified, 0 problem(s), ~$0.0014
  batch 38: 25/25 classified, 0 problem(s), ~$0.0014
  batch 39: 25/25 classified, 0 problem(s), ~$0.0014
  batch 40: 25/25 classified, 0 problem(s), ~$0.0014
  batch 41: 25/25 classified, 0 problem(s), ~$0.0013
  batch 42: 25/25 classified, 0 problem(s), ~$0.0014
  batch 43: 25/25 classified, 0 problem(s), ~$0.0014
  batch 44: 25/25 classified, 0 problem(s), ~$0.0014
  batch 45: 25/25 classified, 0 problem(s), ~$0.0014
